,标题,地区,具体位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
0,越秀大学星汇锦城,番禺,南村东线路越秀大学星汇锦城,在售,30000.0,3,98.0,"住宅,低单价,低总价,绿化率高,人车分流",292.5,10.308952660644293,5.678464666671911,4.584967478670571
1,万科黄埔新城,黄埔,南岗街沙步大路2号,在售,33000.0,3,109.0,"住宅,优惠楼盘,低总价,车位充足,绿化率高",367.5,10.404262840448617,5.906723318652891,4.6913478822291435
2,中建未来方洲,黄埔,石化路中建未来方洲,待售,42000.0,3,109.0,"住宅,低总价,车位充足,绿化率高,国央企",350.0,10.645424897265505,5.857933154483459,4.6913478822291435
3,合景誉山国际,增城,增城区新新大道合景誉山国际营销中心,在售,10000.0,3,108.0,"住宅,低单价,低总价,绿化率高,人车分流",80.0,9.210340371976182,4.382026634673881,4.68213122712422
4,中旅名门府,花都,G107中旅名门府,在售,18500.0,2,98.0,"住宅,低总价,车位充足,绿化率高,国央企",200.0,9.825526011066415,5.298317366548036,4.584967478670571
5,合生中央城（住宅）,黄埔,广州市黄埔区岗荔街8号,在售,33000.0,3,127.0,"住宅,低总价,绿化率高,人车分流,入户花园",482.5,10.404262840448617,6.178980920779041,4.844187086458591
6,景业东湖洲豪园,南沙,广东省广州市南沙区环市大道南横地铁站200米,在售,26000.0,3,108.0,"住宅,车位充足,低密居所,置换改善,养老舒适",325.0,10.165851817003619,5.783825182329737,4.68213122712422
7,天健汇,天河,车陂北路（天坤三路与健明四路交汇处）,在售,37500.0,1,43.5,"商业类,低总价,人车分流,小型社区,国央企",117.5,10.532096211958502,4.7664383335842135,3.7727609380946383
8,南沙珠江湾,南沙,漾滨路和海滨路交汇处,在售,30000.0,3,109.0,"商业,人车分流,大型社区,品牌房企,贴心物业",318.0,10.308952660644293,5.762051382780177,4.6913478822291435
9,碧桂园云顶,增城,广东省广州市增城区广惠高速路口西侧50米,在售,21000.0,3,147.5,"住宅,车位充足,人车分流,品牌房企,水系园林",270.0,9.95227771670556,5.598421958998374,4.993828175779875
10,智杰雅筑,从化,向阳路32号,待售,11000.0,3,166.0,"住宅,绿化率高,人车分流,入户花园,贴心物业",140.0,9.305650551780507,4.941642422609304,5.111987788356543
11,新世界凯粤湾,荔湾,芳村大道西236号,在售,43000.0,3,114.0,"住宅,绿化率高,人车分流,品牌房企,入户花园",549.0,10.668955394675699,6.3080984415095305,4.736198448394496
12,东方名都,增城,东江大道北8号,在售,19000.0,2,91.0,"住宅,绿化率高,人车分流,入户花园,健身跑道",274.0,9.852194258148577,5.6131281063880705,4.51085950651685
13,广州敏捷绿湖首府,增城,石滩镇新城大道石滩中学北侧400米,在售,10000.0,2,97.0,"住宅,低单价,低总价,绿化率高,人车分流",92.0,9.210340371976182,4.5217885770490405,4.574710978503383
14,顺欣花园,增城,荔新十二路98号,在售,14800.0,2,109.0,"住宅,人车分流,大型社区,儿童乐园,地铁沿线",175.15,9.602382459752207,5.165642749643496,4.6913478822291435
15,中森茗苑,增城,新塘石新路168号,在售,21000.0,3,86.5,"住宅,人车分流,封闭管理,入户花园,儿童乐园",187.0,9.95227771670556,5.231108616854587,4.460144413937833
16,新鸿基御华园,花都,广州花都狮岭狮岭大道东1号,在售,15000.0,2,93.0,"住宅,低单价,低总价,人车分流,大型社区",134.0,9.615805480084347,4.897839799950911,4.532599493153255
17,雍晟岭南雅苑,从化,江埔街大江路13号,在售,16000.0,3,89.0,"住宅,绿化率高,人车分流,品牌房企,入户花园",145.0,9.680344001221918,4.976733742420574,4.48863636973214
18,霍英东集团·南天名苑,番禺,洛浦街洛溪环岛北路8号,在售,90000.0,4,310.0,"住宅,车位充足,低密居所,国央企,置换改善",3710.0,11.407564949312402,8.21878715560148,5.736572297479192
19,卓粤卓雅名苑,花都,建设北路223号,在售,14500.0,2,101.0,"住宅,低单价,低总价,车位充足,绿化率高",155.0,9.581903928408666,5.043425116919247,4.61512051684126
20,万科幸福誉1期,黄埔,中新知识城•地铁何棠下站（麦当劳旁）,在售,31000.0,4,116.0,"住宅,车位充足,绿化率高,国央企,品牌房企",550.0,10.341742483467282,6.309918278226516,4.7535901911063645
21,科城山庄峻森园,黄埔,峻祥路与峻福路交汇处,待售,41000.0,3,124.0,"住宅,大型社区,近地铁,地铁沿线,大平层",600.0,10.621327345686444,6.396929655216146,4.820281565605037
22,珠江国际城,从化,广州地铁14号线神岗站A出口前行约400米,在售,9500.0,3,141.5,"住宅,优惠楼盘,低单价,车位充足,绿化率高",202.5,9.159047077588632,5.310739886546593,4.952299717083292
24,富雅都市华庭,增城,汇太东路233号,在售,15600.0,2,77.0,"住宅,人车分流,大型社区,避暑,儿童乐园",142.5,9.655026193237628,4.959341999708705,4.343805421853684
25,珠光山水御苑,从化,广州市从化温泉大道13号,在售,8000.0,4,156.0,"住宅,低单价,车位充足,绿化率高,健身跑道",175.0,8.987196820661973,5.164785973923514,5.049856007249537
26,致岭假日花园,花都,花都狮岭大道6号,在售,14500.0,3,102.5,"住宅,低单价,低总价,车位充足,绿化率高",162.5,9.581903928408666,5.090678001769792,4.629862798578463
27,尚东阳光雅苑,增城,新塘镇西宁西路618号,在售,14000.0,1,96.0,"住宅,绿化率高,人车分流,品牌房企,入户花园",135.0,9.546812608597396,4.90527477843843,4.564348191467836
28,荔富湖畔,增城,朱村街朱村大道东88号,在售,14000.0,3,136.0,"住宅,车位充足,绿化率高,品牌房企,入户花园",188.5,9.546812608597396,5.2390980068880655,4.9126548857360515
29,南沙金茂湾,南沙,南沙明珠湾灵山岛尖沙嘴中路以南,在售,19000.0,1,184.0,"商业类,低总价,车位充足,大型社区,国央企",455.0,9.852194258148577,6.12029741895095,5.214935757608986
30,湾际·滨江,南沙,滨海路和倚涛三街交汇处,在售,26000.0,4,130.5,"住宅,低总价,人车分流,大型社区,品牌房企",265.0,10.165851817003619,5.579729825986222,4.871373226762748
31,海珠湖景峰,海珠,南洲路761号-819号,在售,38000.0,2,101.0,"住宅,低总价,车位充足,绿化率高,多轨交汇",258.0,10.545341438708522,5.552959584921617,4.61512051684126
32,臻尚苑,番禺,广州市番禺区石壁街道石洲中路100号,在售,43000.0,2,107.0,"住宅,绿化率高,人车分流,入户花园,中式建筑",437.0,10.668955394675699,6.07993319509559,4.672828834461906
33,合汇·中央广场,增城,荔景大道合汇·中央广场,在售,21000.0,2,126.0,"住宅,人车分流,大型社区,品牌房企,入户花园",420.5,9.95227771670556,6.041444479413003,4.836281906951478
34,大城云山,从化,广从南路1033号,在售,13000.0,3,131.5,"住宅,绿化率高,低密居所,置换改善,高品质小区",250.0,9.472704636443673,5.521460917862246,4.879006851617819
35,越秀星汇云城,白云,广州大道北同宝路163号,在售,53000.0,4,100.0,"住宅,车位充足,绿化率高,国央企,入户花园",670.0,10.87804719253426,6.507277712385012,4.605170185988091
36,珠江源昌花园,南沙,珠江街新广三路1号,在售,20000.0,3,101.0,"住宅,低单价,低总价,绿化率高,人车分流",242.5,9.903487552536127,5.491001710377538,4.61512051684126
37,江源半岛花园,天河,黄埔大道车陂南路1、3、5、7号(4、5号线地铁交汇处南侧),在售,100000.0,2,98.5,"住宅,绿化率高,人车分流,品牌房企,近地铁",796.5,11.512925464970229,6.6802271293501025,4.590056548178043
38,惠百氏广场,增城,增城新塘大林边路6号（13号线白江站D1口100米）,在售,16000.0,2,102.5,"住宅,人车分流,大型社区,自持商业,近地铁",182.5,9.680344001221918,5.206750173022546,4.629862798578463
39,仁安花园,增城,广州市增城区朱村街朱宁公路1号、3号、5号,在售,11000.0,2,86.5,"住宅,低单价,低总价,绿化率高,人车分流",105.0,9.305650551780507,4.653960350157523,4.460144413937833
40,紫泉流溪湾,从化,105国道从化太平段紫泉流溪湾,在售,16000.0,3,145.5,"住宅,车位充足,绿化率高,入户花园,临近高速",195.0,9.680344001221918,5.272999558563747,4.980176086611547
41,中泰天境,黄埔,九龙镇萝岗广汕公路与九龙大道交汇处,在售,23000.0,4,130.0,"住宅,低单价,低总价,车位充足,绿化率高",300.0,10.043249494911286,5.703782474656201,4.867534450455582
42,嘉御豪庭,增城,石滩大道南128号,在售,12600.0,2,100.0,"住宅,低单价,人车分流,大型社区,儿童乐园",133.5,9.441452092939569,4.894101477840304,4.605170185988091
43,远东御江豪庭,荔湾,百花路58号（花地河畔）,待售,40000.0,3,106.0,"住宅,低总价,人车分流,小型社区,休闲会所",343.0,10.596634733096073,5.8377304471659395,4.663439094112067
44,凯德·中新里,黄埔,广州市黄埔区九龙大道地铁棠下站C口南向100米,在售,21000.0,2,108.0,"住宅,低单价,低总价,车位充足,绿化率高",250.0,9.95227771670556,5.521460917862246,4.68213122712422
45,顺丰翠园,白云,石井兆丰路120号,在售,29000.0,3,126.0,"住宅,低单价,低总价,车位充足,绿化率高",355.0,10.275051108968611,5.872117789475416,4.836281906951478
46,中海联南沙国贸中心,南沙,上隆岭路中海联南沙国贸中心,在售,13000.0,2,55.0,"商业类,低单价,低总价,人车分流,小型社区",72.0,9.472704636443673,4.276666119016055,4.007333185232471
47,家和天曜,天河,大灵山路430号,在售,33000.0,2,47.5,"商业类,低总价,绿化率高,人车分流,自持商业",161.0,10.404262840448617,5.081404364984463,3.8607297110405954
48,中海亚运城,番禺,广州市番禺区康体路亚运城销售中心（4号线海傍站A出口）,在售,26000.0,2,168.5,"住宅,低单价,低总价,绿化率高,人车分流",473.5,10.165851817003619,6.160151912626133,5.126935749792416
49,华标峰湖御境,黄埔,广州市黄埔区广汕公路与天鹿南路交汇处 广州地铁6号线黄陂地铁站（导航地址：华标峰湖御境售楼部）,在售,57000.0,6,488.0,"住宅,车位充足,低密居所,置换改善,养老舒适",2520.0,10.950806546816686,7.832014180505468,6.190315405853147
50,南沙珠江湾,南沙,漾滨路和海滨路交汇处,在售,16800.0,1,67.0,"商业类,低单价,低总价,人车分流,大型社区",97.5,9.72913416539135,4.579852378003801,4.204692619390966
51,尚上名筑,番禺,亚运大道尚上名筑,在售,24000.0,2,107.5,"住宅,低单价,低总价,绿化率高,人车分流",285.0,10.085809109330082,5.652489180268651,4.677490847567717
52,金泽豪庭,增城,广州市增城区新塘镇金泽路1号,在售,16500.0,3,87.0,"住宅,人车分流,大型社区,近地铁,地铁沿线",174.5,9.711115659888671,5.161924741642482,4.465908118654584
53,金融街花溪小镇,花都,花都大道东228号,在售,10000.0,1,101.5,"住宅,低单价,低总价,车位充足,绿化率高",127.5,9.210340371976182,4.84811636459848,4.620058798481842
54,华海·悦湾,南沙,广州市南沙区黄山鲁森林公园东门,在售,18178.0,2,98.5,"住宅,低单价,低总价,车位充足,人车分流",200.5,9.807967350678716,5.300814246746624,4.590056548178043
55,中鼎名汇,黄埔,广东省广州市黄埔区丰乐北路68号,在售,23500.0,1,67.5,"商业类,低总价,绿化率高,人车分流,贴心物业",165.0,10.06475570013225,5.10594547390058,4.212127597878484
56,越秀星汇海珠湾,海珠,广州市海珠区工业大道中广纸路40号,在售,30000.0,3,128.0,"商业类,绿化率高,人车分流,国央企,品牌房企",520.0,10.308952660644293,6.253828811575473,4.852030263919617
57,金时花园,增城,增江街纬六路5号,在售,9980.0,2,112.0,"住宅,低单价,低总价,车位充足,人车分流",112.0,9.20833836930551,4.718498871295094,4.718498871295094
58,石滩第一城,增城,广州市增城区石滩镇立新东路56号,在售,12000.0,3,110.5,"住宅,低单价,低总价,车位充足,人车分流",157.5,9.392661928770137,5.059425458265688,4.705015520957807
59,雅宝新城,花都,新华街平步大道中131号,在售,16800.0,3,147.5,"住宅,低单价,低总价,车位充足,绿化率高",199.5,9.72913416539135,5.295814236329918,4.993828175779875
60,山璟轩,增城,新塘镇广深大道东107号（新塘牛仔城对面）,在售,19500.0,3,74.5,"住宅,小型社区,封闭管理,地铁沿线,公交直达",160.0,9.878169744551839,5.075173815233827,4.310799125385514
61,汇港威华雅苑,增城,朱村大道东178号,在售,12000.0,3,99.0,"住宅,低单价,低总价,车位充足,人车分流",136.0,9.392661928770137,4.9126548857360515,4.59511985013459
62,源海仙村一号,增城,荔新大道与仙村大道交汇处,在售,12500.0,2,107.5,"住宅,低单价,车位充足,人车分流,入户花园",175.0,9.433483923290392,5.164785973923514,4.677490847567717
63,元邦山清水秀,花都,山前大道1242号,在售,8800.0,3,115.5,"住宅,低单价,低总价,绿化率高,低密居所",119.5,9.082507000466297,4.783316371371566,4.749270529961848
64,三江盛汇,增城,石滩镇沙庄光明西路100号,待售,12000.0,3,127.5,"住宅,低单价,低总价,绿化率高,大三居",154.0,9.392661928770137,5.036952602413629,4.84811636459848
65,天马丽苑·悦璟湾,花都,新街大道望亭路8号,在售,32000.0,4,122.0,"住宅,车位充足,绿化率高,置换改善,养老舒适",421.0,10.373491181781864,6.042632833682381,4.804021044733257
66,合和新城,花都,广东省广州市花都区迎宾大道3号,在售,21500.0,2,141.0,"住宅,车位充足,大型社区,近地铁,地铁沿线",318.5,9.975808214115753,5.763622475012218,4.948759890378168
67,南沙湾御苑,南沙,进港大道和港前大道交汇处,在售,22000.0,4,166.0,"住宅,车位充足,低密居所,置换改善,养老舒适",660.0,9.998797732340453,6.492239835020471,5.111987788356543
68,叠溪花园,增城,朱村街道朱石路以东,在售,10500.0,3,101.5,"住宅,低单价,低总价,车位充足,人车分流",109.0,9.259130536145614,4.6913478822291435,4.620058798481842
69,大宏锦绣,南沙,环市大道南南沙小学对面300米处,在售,25000.0,3,132.5,"住宅,车位充足,人车分流,自持商业,近地铁",335.0,10.126631103850338,5.814130531825066,4.886582645426277
70,绿地珑玥府,增城,大道南（纬四路口）,在售,17000.0,3,118.0,"住宅,车位充足,人车分流,国央企,品牌房企",209.0,9.740968623038352,5.342334251964811,4.770684624465664
71,增城一品山湖,增城,增江街初溪村（广东工业大学华立学院旁和新建的北汽汽车城对面）,在售,11000.0,3,128.0,"住宅,低单价,低总价,人车分流,大型社区",150.5,9.305650551780507,5.01396308418893,4.852030263919617
72,中交汇通中心,南沙,江灵北路和纵三路交汇处,在售,38000.0,3,109.0,"底商,车位充足,人车分流,国央企,品牌房企",400.0,10.545341438708522,5.991464547107982,4.6913478822291435
73,合生湖山国际,增城,广州增城新塘镇陈家林路合生湖山国际营销中心,在售,16500.0,2,107.5,"住宅,大型社区,封闭管理,品牌房企,儿童乐园",178.5,9.711115659888671,5.184588601219693,4.677490847567717
74,众筑•东山学府,越秀,东风东路737号（东风东路小学对面）,待售,18339.0,3,51.5,"住宅,人车分流,小型社区,近地铁,多轨交汇",337.5,9.816785218696834,5.821565510312585,3.9415818076696905
75,万科海上传奇,荔湾,芳村大道珠江隧道口以西,待售,18339.0,3,109.0,"底商,车位充足,小型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
76,嘉东广场,从化,从城大道旁（大广高速城郊出口右转600米）,在售,12000.0,2,104.0,"商业类,绿化率高,人车分流,儿童乐园,公交直达",125.5,9.392661928770137,4.832305758571838,4.6443908991413725
77,合景誉山国际,增城,新新公路合景誉山国际,在售,8500.0,2,40.5,"商业类,低单价,低总价,绿化率高,人车分流",43.0,9.047821442478407,3.7612001156935624,3.7013019741124933
78,腾步大厦,花都,迎宾大道4号,待售,18339.0,3,109.0,"商业,小型社区,公交直达,综合商场,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
79,腾步大厦,花都,迎宾大道4号,待售,18339.0,3,109.0,"写字楼,小型社区,公交直达,综合商场,超市",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
80,广州国际空港中心,花都,迎宾大道以南,在售,12000.0,3,38.0,"商业类,低单价,低总价,绿化率高,人车分流",46.0,9.392661928770137,3.828641396489095,3.6375861597263857
81,都湖国际,花都,新华路96号,在售,28000.0,4,164.5,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",679.0,10.239959789157341,6.520621127558696,5.1029105702054265
82,招商臻园,增城,广园快速荔新出口新塘万达旁,在售,18000.0,3,119.0,"住宅,车位充足,人车分流,国央企,品牌房企",307.5,9.798127036878302,5.728475087246572,4.77912349311153
83,东江逸珑湾,增城,沿江大道39号（甘泉小学东侧）,在售,21000.0,3,125.5,"住宅,人车分流,大型社区,品牌房企,贴心物业",295.0,9.95227771670556,5.686975356339819,4.832305758571838
84,世茂珠江天鹅湾,海珠,革新路126号,待售,130000.0,3,265.5,"住宅,车位充足,绿化率高,品牌房企,健身跑道",3000.0,11.77528972943772,8.006367567650246,5.581614840681993
85,敏捷尚品国际,南沙,进港大道183号,在售,10000.0,2,75.0,"商业类,低单价,低总价,大型社区,品牌房企",65.0,9.210340371976182,4.174387269895637,4.31748811353631
86,越秀臻悦府,花都,花都湖•凤凰南路,在售,30000.0,4,110.0,"住宅,车位充足,绿化率高,国央企,品牌房企",350.0,10.308952660644293,5.857933154483459,4.700480365792416
87,珠江花城,天河,东圃岐山183号,在售,57000.0,3,108.0,"住宅,绿化率高,人车分流,国央企,品牌房企",645.0,10.950806546816686,6.4692503167957724,4.68213122712422
88,保利金沙大都汇,白云,环洲二路86号（沙贝地铁站A1出口）,在售,70000.0,3,109.0,"商业,低总价,车位充足,人车分流,国央企",580.0,11.156250521031495,6.363028103540465,4.6913478822291435
89,花悦台,花都,狮岭金狮大道四街花悦台销售中心,在售,9000.0,3,88.0,"住宅,低单价,低总价,人车分流,小型社区",80.5,9.104979856318357,4.388257184424518,4.477336814478206
90,逸合中心,荔湾,浣花路荔湾儿童公园西侧,在售,34000.0,3,44.5,"商业类,低总价,人车分流,封闭管理,品牌房企",155.0,10.434115803598297,5.043425116919247,3.7954891891721942
91,星图TOD,增城,地铁13号线官湖车辆段（官湖站B出口）,在售,21000.0,1,106.5,"住宅,车位充足,人车分流,国央企,品牌房企",306.0,9.95227771670556,5.723585101952381,4.66814498514948
92,粤泰荣廷府,越秀,东华西路52-56号,待售,18339.0,3,109.0,"住宅,人车分流,小型社区,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
93,中洲公馆,番禺,市桥北桥路1号,在售,35000.0,3,63.0,"商业类,车位充足,绿化率高,品牌房企,贴心物业",147.0,10.46310334047155,4.990432586778736,4.143134726391533
94,天河金街,天河,天河北路曜一城广场负一楼,待售,18339.0,3,109.0,"商业,车位充足,小型社区,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
95,美的云筑,南沙,广州市南沙区东涌镇鱼窝头体育文化广场对面,在售,21000.0,3,105.0,"住宅,低单价,低总价,车位充足,绿化率高",230.0,9.95227771670556,5.438079308923196,4.653960350157523
96,祈福万景峰,花都,新华街望岗路6号,在售,15900.0,2,101.5,"住宅,低单价,低总价,人车分流,大型社区",176.5,9.674074388208323,5.173320876373351,4.620058798481842
97,侨建御溪谷北区,增城,风光路399号,在售,24000.0,4,285.0,"住宅,车位充足,绿化率高,置换改善,近地铁",680.0,10.085809109330082,6.522092798170152,5.652489180268651
98,天睿,番禺,石北工业路（大石地铁站与会江地铁站之间）,在售,22000.0,2,111.0,"商业类,绿化率高,人车分流,置换改善,贴心物业",682.5,9.998797732340453,6.525762527059115,4.709530201312334
99,临港国际商务大厦,南沙,龙穴大道中123号,待售,23000.0,3,109.0,"写字楼,小型社区,公交直达,近主干道,现房",337.5,10.043249494911286,5.821565510312585,4.6913478822291435
100,珠江铂世湾,番禺,万博.江山高尔夫俱乐部东侧,在售,45000.0,3,121.5,"住宅,车位充足,绿化率高,品牌房企,入户花园",510.0,10.714417768752456,6.234410725718371,4.799914262780603
101,淘金半山御庭,越秀,淘金西街18号,在售,110000.0,3,153.5,"住宅,绿化率高,人车分流,贴心物业,近地铁",2226.5,11.608235644774552,7.708186124761757,5.033700567027251
102,汇金国际金融中心,天河,黄埔大道中660号,在售,50000.0,3,109.0,"写字楼,车位充足,人车分流,国央企,品牌房企",405.0,10.819778284410283,6.003887067106539,4.6913478822291435
103,汇金国际金融中心,天河,黄埔大道中660号,在售,43000.0,3,109.0,"商业,车位充足,大型社区,国央企,品牌房企",800.0,10.668955394675699,6.684611727667927,4.6913478822291435
104,合家和府,从化,城郊街城新路136号,在售,12000.0,2,107.0,"住宅,车位充足,绿化率高,儿童乐园,公交直达",165.5,9.392661928770137,5.1089711948171175,4.672828834461906
105,保利金沙大都汇,白云,环洲二路86号（沙贝地铁站A1出口）,在售,27000.0,2,57.5,"商业类,人车分流,大型社区,国央企,品牌房企",110.5,10.203592144986466,4.705015520957807,4.051784947803305
106,中交汇通中心,南沙,江灵北路和纵三路交汇处,在售,22000.0,1,75.5,"商业类,低总价,人车分流,大型社区,国央企",135.5,9.998797732340453,4.908971640319756,4.324132656254979
107,香江天赋,增城,广园东开创大道北埔南路翡翠绿洲内部,在售,27000.0,4,146.0,"住宅,车位充足,人车分流,品牌房企,健身跑道",280.0,10.203592144986466,5.634789603169249,4.983606621708336
108,惠百氏广场,增城,广深大道西180,在售,18339.0,3,109.0,"商业,大型社区,近地铁,地铁沿线,已交房2年内",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
109,广州钢铁博汇,黄埔,广州经济技术开发区西基工业区西基路,待售,32000.0,3,109.0,"商业,低总价,大型社区,国央企,品牌房企",345.0,10.373491181781864,5.843544417031359,4.6913478822291435
110,建发央玺,白云,石潭路568号,在售,40000.0,5,147.0,"住宅,车位充足,人车分流,国央企,品牌房企",780.0,10.596634733096073,6.659293919683638,4.990432586778736
111,祈福黄金海岸,花都,赤泥镇培正大道集益水库（培正学院旁）,在售,7888.0,2,112.0,"住宅,低单价,低总价,绿化率高,低密居所",88.0,8.973097896282471,4.477336814478206,4.718498871295094
112,首创碧桂园悦山府,增城,增江区狮尾路2号,在售,11000.0,3,105.5,"住宅,低单价,低总价,车位充足,绿化率高",122.5,9.305650551780507,4.808111029984781,4.658710952916121
113,沁园,黄埔,开源大道201号,在售,66000.0,3,268.5,"商业类,车位充足,绿化率高,置换改善,休闲会所",1900.0,11.097410021008562,7.549609165154531,5.5928509139489195
114,海航白云YH城,白云,鹤龙一路208号,待售,18339.0,3,109.0,"商业,小型社区,品牌房企,地铁沿线,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
115,仟信广场,从化,仟信街12号,在售,13600.0,3,129.0,"住宅,车位充足,绿化率高,儿童乐园,近地铁",250.0,9.517825071724143,5.521460917862246,4.859812404361672
116,中冶·逸璟台,黄埔,永顺大道长岭路以北（长岭居小学西北侧300米）,在售,50000.0,5,154.0,"住宅,车位充足,绿化率高,国央企,品牌房企",1000.0,10.819778284410283,6.907755278982137,5.036952602413629
117,合汇璟园,增城,荔城街荔湖大道397号,在售,35000.0,4,228.5,"商业类,车位充足,人车分流,置换改善,品牌房企",900.0,10.46310334047155,6.802394763324311,5.431536210334259
118,康大龙祥汇,黄埔,中新知识城旺村地铁站旁,在售,50000.0,4,140.0,"住宅,低总价,车位充足,绿化率高,国央企",595.0,10.819778284410283,6.388561405545629,4.941642422609304
119,保利时代,从化,广东省广州市从化区灌村路凤鸣西四街5号,在售,12500.0,2,87.0,"住宅,低总价,车位充足,绿化率高,国央企",194.0,9.433483923290392,5.267858159063328,4.465908118654584
120,中国中铁·诺德名著,增城,荔城街明慧路12号,在售,18000.0,3,113.0,"住宅,车位充足,人车分流,国央企,品牌房企",247.5,9.798127036878302,5.511410582008745,4.727387818712341
121,珠光御景壹號,荔湾,黄沙大道15-17号,在售,65000.0,2,75.0,"商业类,绿化率高,人车分流,休闲会所,自持商业",470.0,11.082142548877775,6.152732694704104,4.31748811353631
122,方舟公馆,荔湾,东沙大道16号,在售,18339.0,3,109.0,"商业,车位充足,人车分流,贴心物业,自持商业",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
123,岭南V谷,荔湾,花地大道南657号,在售,20000.0,3,109.0,"写字楼,人车分流,大型社区,国央企,品牌房企",150.0,9.903487552536127,5.0106352940962555,4.6913478822291435
