标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
越秀大学星汇锦城,番禺,南村,南村东线路越秀大学星汇锦城,"住宅,低单价,低总价,绿化率高,人车分流",30000,总价185-400(万/套),在售,"3室,4室",建面 70-126㎡
万科黄埔新城,黄埔,南岗,南岗街沙步大路2号,"住宅,优惠楼盘,低总价,车位充足,绿化率高",33000,总价235-500(万/套),在售,"3室,4室",建面 75-143㎡
中建未来方洲,黄埔,文冲,石化路中建未来方洲,"住宅,低总价,车位充足,绿化率高,国央企",42000,总价350(万/套),待售,,
合景誉山国际,增城,永宁,增城区新新大道合景誉山国际营销中心,"住宅,低单价,低总价,绿化率高,人车分流",10000,总价80(万/套),在售,3室,建面 74-142㎡
中旅名门府,花都,镜湖大道,G107中旅名门府,"住宅,低总价,车位充足,绿化率高,国央企",18500,总价150-250(万/套),在售,"2室,3室",建面 80-116㎡
合生中央城（住宅）,黄埔,香雪,广州市黄埔区岗荔街8号,"住宅,低总价,绿化率高,人车分流,入户花园",33000,总价255-710(万/套),在售,"3室,4室",建面 85-169㎡
景业东湖洲豪园,南沙,南沙湾,广东省广州市南沙区环市大道南横地铁站200米,"住宅,车位充足,低密居所,置换改善,养老舒适",26000,总价320-330(万/套),在售,3室,建面 95-121㎡
天健汇,天河,车陂,车陂北路（天坤三路与健明四路交汇处）,"商业类,低总价,人车分流,小型社区,国央企",37500,总价100-135(万/套),在售,1室,建面 36-51㎡
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,"商业,人车分流,大型社区,品牌房企,贴心物业",30000,总价318(万/套),在售,,
碧桂园云顶,增城,凤凰城,广东省广州市增城区广惠高速路口西侧50米,"住宅,车位充足,人车分流,品牌房企,水系园林",21000,总价200-340(万/套),在售,"3室,4室",建面 90-205㎡
智杰雅筑,从化,河滨北路,向阳路32号,"住宅,绿化率高,人车分流,入户花园,贴心物业",11000,总价140(万/套),待售,,建面 90-242㎡
新世界凯粤湾,荔湾,滘口,芳村大道西236号,"住宅,绿化率高,人车分流,品牌房企,入户花园",43000,总价408-690(万/套),在售,"3室,4室",建面 95-133㎡
东方名都,增城,白江,东江大道北8号,"住宅,绿化率高,人车分流,入户花园,健身跑道",19000,总价200-348(万/套),在售,"2室,3室",建面 40-142㎡
广州敏捷绿湖首府,增城,石滩镇,石滩镇新城大道石滩中学北侧400米,"住宅,低单价,低总价,绿化率高,人车分流",10000,总价64-120(万/套),在售,"2室,3室",建面 71-123㎡
顺欣花园,增城,新塘北,荔新十二路98号,"住宅,人车分流,大型社区,儿童乐园,地铁沿线",14800,总价124.3-226(万/套),在售,"2室,3室",建面 80-138㎡
中森茗苑,增城,新塘北,新塘石新路168号,"住宅,人车分流,封闭管理,入户花园,儿童乐园",21000,总价180-194(万/套),在售,3室,建面 85-88㎡
新鸿基御华园,花都,狮岭镇,广州花都狮岭狮岭大道东1号,"住宅,低单价,低总价,人车分流,大型社区",15000,总价88-180(万/套),在售,"2室,3室",建面 67-119㎡
雍晟岭南雅苑,从化,江浦街,江埔街大江路13号,"住宅,绿化率高,人车分流,品牌房企,入户花园",16000,总价145(万/套),在售,,建面 89㎡
霍英东集团·南天名苑,番禺,洛溪,洛浦街洛溪环岛北路8号,"住宅,车位充足,低密居所,国央企,置换改善",90000,总价1120-6300(万/套),在售,"4室,5室",建面 140-480㎡
卓粤卓雅名苑,花都,花城街,建设北路223号,"住宅,低单价,低总价,车位充足,绿化率高",14500,总价130-180(万/套),在售,"2室,3室",建面 77-125㎡
万科幸福誉1期,黄埔,知识城,中新知识城•地铁何棠下站（麦当劳旁）,"住宅,车位充足,绿化率高,国央企,品牌房企",31000,总价550(万/套),在售,4室,建面 66-166㎡
科城山庄峻森园,黄埔,科学城,峻祥路与峻福路交汇处,"住宅,大型社区,近地铁,地铁沿线,大平层",41000,总价530-670(万/套),待售,"3室,4室",建面 63-185㎡
珠江国际城,从化,神岗镇,广州地铁14号线神岗站A出口前行约400米,"住宅,优惠楼盘,低单价,车位充足,绿化率高",9500,总价85-320(万/套),在售,"3室,4室",建面 83-200㎡
宏诚海峰花园,从化,江浦街,广州市从化区江埔街环市东路453号,"住宅,人车分流,封闭管理,健身跑道,贴心物业",112-175,,待售,"2室,3室",建面 79-134㎡
富雅都市华庭,增城,新塘北,汇太东路233号,"住宅,人车分流,大型社区,避暑,儿童乐园",15600,总价65-220(万/套),在售,"1室,3室",建面 38-116㎡
珠光山水御苑,从化,江浦街,广州市从化温泉大道13号,"住宅,低单价,车位充足,绿化率高,健身跑道",8000,总价175(万/套),在售,4室,建面 141-171㎡
致岭假日花园,花都,狮岭镇,花都狮岭大道6号,"住宅,低单价,低总价,车位充足,绿化率高",14500,总价135-190(万/套),在售,"3室,4室",建面 94-111㎡
尚东阳光雅苑,增城,沙村,新塘镇西宁西路618号,"住宅,绿化率高,人车分流,品牌房企,入户花园",14000,总价65-205(万/套),在售,"1室,2室",建面 49-143㎡
荔富湖畔,增城,朱村,朱村街朱村大道东88号,"住宅,车位充足,绿化率高,品牌房企,入户花园",14000,总价142-235(万/套),在售,"3室,4室",建面 104-168㎡
南沙金茂湾,南沙,明珠湾,南沙明珠湾灵山岛尖沙嘴中路以南,"商业类,低总价,车位充足,大型社区,国央企",19000,总价455(万/套),在售,1室,建面 138-230㎡
湾际·滨江,南沙,进港大道,滨海路和倚涛三街交汇处,"住宅,低总价,人车分流,大型社区,品牌房企",26000,总价180-350(万/套),在售,"3室,5室",建面 89-172㎡
海珠湖景峰,海珠,南洲,南洲路761号-819号,"住宅,低总价,车位充足,绿化率高,多轨交汇",38000,总价258(万/套),在售,2室,建面 69-133㎡
臻尚苑,番禺,广州南站,广州市番禺区石壁街道石洲中路100号,"住宅,绿化率高,人车分流,入户花园,中式建筑",43000,总价384-490(万/套),在售,"2室,3室",建面 96-118㎡
合汇·中央广场,增城,荔城中区,荔景大道合汇·中央广场,"住宅,人车分流,大型社区,品牌房企,入户花园",21000,总价267-574(万/套),在售,"2室,3室",建面 78-174㎡
大城云山,从化,太平镇,广从南路1033号,"住宅,绿化率高,低密居所,置换改善,高品质小区",13000,总价250(万/套),在售,3室,建面 121-142㎡
越秀星汇云城,白云,同和,广州大道北同宝路163号,"住宅,车位充足,绿化率高,国央企,入户花园",53000,总价620-720(万/套),在售,4室,建面 78-122㎡
珠江源昌花园,南沙,横沥,珠江街新广三路1号,"住宅,低单价,低总价,绿化率高,人车分流",20000,总价235-250(万/套),在售,"3室,4室",建面 79-123㎡
江源半岛花园,天河,金融城,黄埔大道车陂南路1、3、5、7号(4、5号线地铁交汇处南侧),"住宅,绿化率高,人车分流,品牌房企,近地铁",100000,总价630-963(万/套),在售,"2室,3室",建面 70-127㎡
惠百氏广场,增城,白江,增城新塘大林边路6号（13号线白江站D1口100米）,"住宅,人车分流,大型社区,自持商业,近地铁",16000,总价126-239(万/套),在售,"2室,3室",建面 75-130㎡
仁安花园,增城,朱村,广州市增城区朱村街朱宁公路1号、3号、5号,"住宅,低单价,低总价,绿化率高,人车分流",11000,总价100-110(万/套),在售,"2室,3室",建面 80-93㎡
紫泉流溪湾,从化,太平镇,105国道从化太平段紫泉流溪湾,"住宅,车位充足,绿化率高,入户花园,临近高速",16000,总价195(万/套),在售,,建面 88-203㎡
中泰天境,黄埔,知识城,九龙镇萝岗广汕公路与九龙大道交汇处,"住宅,低单价,低总价,车位充足,绿化率高",23000,总价300(万/套),在售,4室,建面 130㎡
嘉御豪庭,增城,石滩镇,石滩大道南128号,"住宅,低单价,人车分流,大型社区,儿童乐园",12600,总价97-170(万/套),在售,"2室,3室",建面 67-133㎡
远东御江豪庭,荔湾,茶滘,百花路58号（花地河畔）,"住宅,低总价,人车分流,小型社区,休闲会所",40000,总价343(万/套),待售,,建面 85-127㎡
凯德·中新里,黄埔,知识城,广州市黄埔区九龙大道地铁棠下站C口南向100米,"住宅,低单价,低总价,车位充足,绿化率高",21000,总价145-355(万/套),在售,"2室,3室",建面 76-140㎡
顺丰翠园,白云,石井,石井兆丰路120号,"住宅,低单价,低总价,车位充足,绿化率高",29000,总价220-490(万/套),在售,"3室,4室",建面 80-172㎡
中海联南沙国贸中心,南沙,金洲,上隆岭路中海联南沙国贸中心,"商业类,低单价,低总价,人车分流,小型社区",13000,总价68-76(万/套),在售,2室,建面 52-58㎡
家和天曜,天河,黄村,大灵山路430号,"商业类,低总价,绿化率高,人车分流,自持商业",33000,总价140-182(万/套),在售,2室,建面 43-52㎡
中海亚运城,番禺,亚运城,广州市番禺区康体路亚运城销售中心（4号线海傍站A出口）,"住宅,低单价,低总价,绿化率高,人车分流",26000,总价247-700(万/套),在售,"2室,3室",建面 87-250㎡
华标峰湖御境,黄埔,科学城,广州市黄埔区广汕公路与天鹿南路交汇处 广州地铁6号线黄陂地铁站（导航地址：华标峰湖御境售楼部）,"住宅,车位充足,低密居所,置换改善,养老舒适",57000,总价1800-3240(万/套),在售,"4室,8室",建面 328-648㎡
南沙珠江湾,南沙,南沙湾,漾滨路和海滨路交汇处,"商业类,低单价,低总价,人车分流,大型社区",16800,总价60-135(万/套),在售,"1室,2室",建面 35-99㎡
尚上名筑,番禺,亚运城,亚运大道尚上名筑,"住宅,低单价,低总价,绿化率高,人车分流",24000,总价210-360(万/套),在售,"2室,3室",建面 78-137㎡
金泽豪庭,增城,白江,广州市增城区新塘镇金泽路1号,"住宅,人车分流,大型社区,近地铁,地铁沿线",16500,总价144-205(万/套),在售,"3室,4室",建面 53-121㎡
金融街花溪小镇,花都,花东镇,花都大道东228号,"住宅,低单价,低总价,车位充足,绿化率高",10000,总价70-185(万/套),在售,"1室,2室",建面 71-132㎡
华海·悦湾,南沙,南沙港,广州市南沙区黄山鲁森林公园东门,"住宅,低单价,低总价,车位充足,人车分流",18178,总价150-251(万/套),在售,"2室,3室",建面 78-119㎡
中鼎名汇,黄埔,黄埔区府,广东省广州市黄埔区丰乐北路68号,"商业类,低总价,绿化率高,人车分流,贴心物业",23500,总价115-215(万/套),在售,"1室,2室",建面 49-86㎡
越秀星汇海珠湾,海珠,工业大道中,广州市海珠区工业大道中广纸路40号,"商业类,绿化率高,人车分流,国央企,品牌房企",30000,总价290-750(万/套),在售,"3室,4室",建面 33-223㎡
金时花园,增城,荔城增江,增江街纬六路5号,"住宅,低单价,低总价,车位充足,人车分流",9980,总价84-140(万/套),在售,"2室,3室",建面 84-140㎡
石滩第一城,增城,石滩镇,广州市增城区石滩镇立新东路56号,"住宅,低单价,低总价,车位充足,人车分流",12000,总价155-160(万/套),在售,3室,建面 89-132㎡
雅宝新城,花都,秀全街,新华街平步大道中131号,"住宅,低单价,低总价,车位充足,绿化率高",16800,总价169-230(万/套),在售,3室,建面 100-195㎡
山璟轩,增城,新塘南,新塘镇广深大道东107号（新塘牛仔城对面）,"住宅,小型社区,封闭管理,地铁沿线,公交直达",19500,总价155-165(万/套),在售,3室,建面 62-87㎡
汇港威华雅苑,增城,朱村,朱村大道东178号,"住宅,低单价,低总价,车位充足,人车分流",12000,总价136(万/套),在售,3室,建面 85-113㎡
源海仙村一号,增城,石滩镇,荔新大道与仙村大道交汇处,"住宅,低单价,车位充足,人车分流,入户花园",12500,总价138-212(万/套),在售,"2室,3室",建面 86-129㎡
元邦山清水秀,花都,狮岭镇,山前大道1242号,"住宅,低单价,低总价,绿化率高,低密居所",8800,总价94-145(万/套),在售,"3室,4室",建面 95-136㎡
三江盛汇,增城,石滩镇,石滩镇沙庄光明西路100号,"住宅,低单价,低总价,绿化率高,大三居",12000,总价135-173(万/套),待售,,建面 111-144㎡
天马丽苑·悦璟湾,花都,铁路西,新街大道望亭路8号,"住宅,车位充足,绿化率高,置换改善,养老舒适",32000,总价360-482(万/套),在售,4室,建面 99-145㎡
合和新城,花都,镜湖大道,广东省广州市花都区迎宾大道3号,"住宅,车位充足,大型社区,近地铁,地铁沿线",21500,总价180-457(万/套),在售,"2室,3室",建面 75-207㎡
南沙湾御苑,南沙,南沙港,进港大道和港前大道交汇处,"住宅,车位充足,低密居所,置换改善,养老舒适",22000,总价400-920(万/套),在售,"3室,5室",建面 103-229㎡
叠溪花园,增城,朱村,朱村街道朱石路以东,"住宅,低单价,低总价,车位充足,人车分流",10500,总价96-122(万/套),在售,3室,建面 77-126㎡
大宏锦绣,南沙,南沙湾,环市大道南南沙小学对面300米处,"住宅,车位充足,人车分流,自持商业,近地铁",25000,总价310-360(万/套),在售,"3室,4室",建面 123-142㎡
绿地珑玥府,增城,荔城增江,大道南（纬四路口）,"住宅,车位充足,人车分流,国央企,品牌房企",17000,总价168-250(万/套),在售,"3室,4室",建面 98-138㎡
增城一品山湖,增城,荔城增江,增江街初溪村（广东工业大学华立学院旁和新建的北汽汽车城对面）,"住宅,低单价,低总价,人车分流,大型社区",11000,总价121-180(万/套),在售,"3室,4室",建面 107-149㎡
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,"底商,车位充足,人车分流,国央企,品牌房企",38000,总价400(万/套),在售,,
合生湖山国际,增城,凤凰城,广州增城新塘镇陈家林路合生湖山国际营销中心,"住宅,大型社区,封闭管理,品牌房企,儿童乐园",16500,总价132-225(万/套),在售,"2室,3室",建面 80-135㎡
众筑•东山学府,越秀,环市东,东风东路737号（东风东路小学对面）,"住宅,人车分流,小型社区,近地铁,多轨交汇",价格待定,,待售,,建面 42-61㎡
万科海上传奇,荔湾,芳村,芳村大道珠江隧道口以西,"底商,车位充足,小型社区,国央企,品牌房企",价格待定,,待售,,
嘉东广场,从化,旺城片区,从城大道旁（大广高速城郊出口右转600米）,"商业类,绿化率高,人车分流,儿童乐园,公交直达",12000,总价98-153(万/套),在售,"2室,3室",建面 81-127㎡
合景誉山国际,增城,永宁,新新公路合景誉山国际,"商业类,低单价,低总价,绿化率高,人车分流",8500,总价43(万/套),在售,2室,建面 32-49㎡
腾步大厦,花都,旧区,迎宾大道4号,"商业,小型社区,公交直达,综合商场,超市",价格待定,,待售,,
腾步大厦,花都,旧区,迎宾大道4号,"写字楼,小型社区,公交直达,综合商场,超市",价格待定,,待售,,
广州国际空港中心,花都,镜湖大道,迎宾大道以南,"商业类,低单价,低总价,绿化率高,人车分流",12000,总价46(万/套),在售,,建面 35-41㎡
都湖国际,花都,旧区,新华路96号,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",28000,总价420-938(万/套),在售,"3室,5室",建面 82-247㎡
招商臻园,增城,新塘北,广园快速荔新出口新塘万达旁,"住宅,车位充足,人车分流,国央企,品牌房企",18000,总价270-345(万/套),在售,"3室,4室",建面 95-143㎡
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,"住宅,人车分流,大型社区,品牌房企,贴心物业",21000,总价240-350(万/套),在售,"3室,4室",建面 89-162㎡
世茂珠江天鹅湾,海珠,工业大道北,革新路126号,"住宅,车位充足,绿化率高,品牌房企,健身跑道",130000,总价3000(万/套),待售,,建面 237-294㎡
敏捷尚品国际,南沙,进港大道,进港大道183号,"商业类,低单价,低总价,大型社区,品牌房企",10000,总价65(万/套),在售,2室,建面 57-93㎡
越秀臻悦府,花都,镜湖大道,花都湖•凤凰南路,"住宅,车位充足,绿化率高,国央企,品牌房企",30000,总价330-370(万/套),在售,4室,建面 100-120㎡
珠江花城,天河,黄村,东圃岐山183号,"住宅,绿化率高,人车分流,国央企,品牌房企",57000,总价390-900(万/套),在售,"3室,4室",建面 76-140㎡
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,"商业,低总价,车位充足,人车分流,国央企",70000,总价580(万/套),在售,,
花悦台,花都,狮岭镇,狮岭金狮大道四街花悦台销售中心,"住宅,低单价,低总价,人车分流,小型社区",9000,总价80-81(万/套),在售,3室,建面 83-93㎡
逸合中心,荔湾,鹤洞,浣花路荔湾儿童公园西侧,"商业类,低总价,人车分流,封闭管理,品牌房企",34000,总价150-160(万/套),在售,3室,建面 30-59㎡
星图TOD,增城,新塘北,地铁13号线官湖车辆段（官湖站B出口）,"住宅,车位充足,人车分流,国央企,品牌房企",21000,总价221-391(万/套),在售,"1室,2室",建面 78-135㎡
粤泰荣廷府,越秀,东川路,东华西路52-56号,"住宅,人车分流,小型社区,品牌房企,近地铁",价格待定,,待售,,
中洲公馆,番禺,市桥,市桥北桥路1号,"商业类,车位充足,绿化率高,品牌房企,贴心物业",35000,总价147(万/套),在售,,建面 42-84㎡
天河金街,天河,天润路,天河北路曜一城广场负一楼,"商业,车位充足,小型社区,近地铁,地铁沿线",价格待定,,待售,,
美的云筑,南沙,鱼窝头,广州市南沙区东涌镇鱼窝头体育文化广场对面,"住宅,低单价,低总价,车位充足,绿化率高",21000,总价200-260(万/套),在售,"3室,4室",建面 83-127㎡
祈福万景峰,花都,铁路西,新华街望岗路6号,"住宅,低单价,低总价,人车分流,大型社区",15900,总价95-258(万/套),在售,"2室,3室",建面 60-143㎡
侨建御溪谷北区,增城,中新镇,风光路399号,"住宅,车位充足,绿化率高,置换改善,近地铁",24000,总价680(万/套),在售,4室,建面 285㎡
天睿,番禺,会江,石北工业路（大石地铁站与会江地铁站之间）,"商业类,绿化率高,人车分流,置换改善,贴心物业",22000,总价85-1280(万/套),在售,"2室,3室",建面 37-185㎡
临港国际商务大厦,南沙,万顷沙,龙穴大道中123号,"写字楼,小型社区,公交直达,近主干道,现房",23000,,待售,,
珠江铂世湾,番禺,雅居乐,万博.江山高尔夫俱乐部东侧,"住宅,车位充足,绿化率高,品牌房企,入户花园",45000,总价450-570(万/套),在售,"3室,4室",建面 105-138㎡
淘金半山御庭,越秀,淘金,淘金西街18号,"住宅,绿化率高,人车分流,贴心物业,近地铁",110000,总价1053-3400(万/套),在售,"3室,4室",建面 102-205㎡
汇金国际金融中心,天河,金融城,黄埔大道中660号,"写字楼,车位充足,人车分流,国央企,品牌房企",50000,总价405(万/套),在售,,
汇金国际金融中心,天河,金融城,黄埔大道中660号,"商业,车位充足,大型社区,国央企,品牌房企",43000,总价800(万/套),在售,,
合家和府,从化,旺城片区,城郊街城新路136号,"住宅,车位充足,绿化率高,儿童乐园,公交直达",12000,总价145-186(万/套),在售,"2室,3室",建面 90-124㎡
保利金沙大都汇,白云,金沙洲,环洲二路86号（沙贝地铁站A1出口）,"商业类,人车分流,大型社区,国央企,品牌房企",27000,总价81-140(万/套),在售,2室,建面 30-85㎡
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,"商业类,低总价,人车分流,大型社区,国央企",22000,总价88-183(万/套),在售,1室,建面 49-102㎡
香江天赋,增城,凤凰城,广园东开创大道北埔南路翡翠绿洲内部,"住宅,车位充足,人车分流,品牌房企,健身跑道",27000,总价280(万/套),在售,"4室,5室",建面 88-204㎡
惠百氏广场,增城,白江,广深大道西180,"商业,大型社区,近地铁,地铁沿线,已交房2年内",价格待定,,在售,,
广州钢铁博汇,黄埔,开发西区,广州经济技术开发区西基工业区西基路,"商业,低总价,大型社区,国央企,品牌房企",32000,总价345(万/套),待售,,
建发央玺,白云,石井,石潭路568号,"住宅,车位充足,人车分流,国央企,品牌房企",40000,总价780(万/套),在售,5室,建面 98-196㎡
祈福黄金海岸,花都,赤坭镇,赤泥镇培正大道集益水库（培正学院旁）,"住宅,低单价,低总价,绿化率高,低密居所",7888,总价57-119(万/套),在售,"2室,3室",建面 73-151㎡
首创碧桂园悦山府,增城,荔城增江,增江区狮尾路2号,"住宅,低单价,低总价,车位充足,绿化率高",11000,总价110-135(万/套),在售,"3室,4室",建面 97-114㎡
沁园,黄埔,香雪,开源大道201号,"商业类,车位充足,绿化率高,置换改善,休闲会所",66000,总价1200-2600(万/套),在售,"3室,4室",建面 170-367㎡
海航白云YH城,白云,夏茅,鹤龙一路208号,"商业,小型社区,品牌房企,地铁沿线,公交直达",价格待定,,待售,,
仟信广场,从化,河滨北路,仟信街12号,"住宅,车位充足,绿化率高,儿童乐园,近地铁",13600,总价170-330(万/套),在售,"3室,4室",建面 108-150㎡
中冶·逸璟台,黄埔,科学城,永顺大道长岭路以北（长岭居小学西北侧300米）,"住宅,车位充足,绿化率高,国央企,品牌房企",50000,总价1000(万/套),在售,5室,建面 96-212㎡
合汇璟园,增城,增城碧桂园,荔城街荔湖大道397号,"商业类,车位充足,人车分流,置换改善,品牌房企",35000,总价800-1000(万/套),在售,4室,建面 207-250㎡
康大龙祥汇,黄埔,知识城,中新知识城旺村地铁站旁,"住宅,低总价,车位充足,绿化率高,国央企",50000,总价410-780(万/套),在售,4室,建面 106-174㎡
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,"住宅,低总价,车位充足,绿化率高,国央企",12500,总价78-310(万/套),在售,"2室,3室",建面 61-113㎡
中国中铁·诺德名著,增城,荔城西区,荔城街明慧路12号,"住宅,车位充足,人车分流,国央企,品牌房企",18000,总价215-280(万/套),在售,"3室,4室",建面 98-128㎡
珠光御景壹號,荔湾,黄沙,黄沙大道15-17号,"商业类,绿化率高,人车分流,休闲会所,自持商业",65000,总价300-640(万/套),在售,"1室,3室",建面 50-100㎡
方舟公馆,荔湾,东塱,东沙大道16号,"商业,车位充足,人车分流,贴心物业,自持商业",价格待定,,在售,,
岭南V谷,荔湾,菊树,花地大道南657号,"写字楼,人车分流,大型社区,国央企,品牌房企",20000,总价150(万/套),在售,,
岭南V谷,荔湾,菊树,花地大道南657号,"商业类,低单价,低总价,绿化率高,人车分流",21000,总价100-120(万/套),在售,"1室,2室",建面 45-55㎡
大壮名城,黄埔,科学城,开泰大道与科丰路交汇处,"住宅,车位充足,绿化率高,自持商业,近地铁",55000,总价385-1800(万/套),在售,"3室,4室",建面 74-256㎡
天健云山府,白云,白云大道南,白云大道南397号,"住宅,车位充足,人车分流,国央企,品牌房企",110000,总价1111-1496(万/套),在售,"3室,4室",建面 75-144㎡
百花山庄,增城,荔城西区,百花路88号,"住宅,车位充足,绿化率高,置换改善,私属庭院",20000,总价185-445(万/套),在售,"3室,4室",建面 95-255㎡
保利中海金地·大国璟,增城,荔城西区,增城大道南467号,"住宅,低总价,车位充足,大型社区,国央企",14000,总价110-220(万/套),在售,"3室,4室",建面 73-124㎡
时代绿庭山语,南沙,大岗镇,潭灵大道大岗镇政府旁,"住宅,低单价,低总价,绿化率高,人车分流",21000,总价185-270(万/套),待售,"2室,3室",建面 43-120㎡
广地花园,番禺,星河湾,广州番禺华快出口左侧,"住宅,低总价,车位充足,低密居所,置换改善",35000,总价250-600(万/套),在售,"2室,3室",建面 74-167㎡
天健云山府,白云,白云大道南,白云大道南397号,"底商,车位充足,人车分流,国央企,品牌房企",60000,总价350(万/套),在售,,
