标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
保利琅悦,花都,旧区,云山大道保利琅悦,"住宅,车位充足,绿化率高,国央企,品牌房企",24000,总价230-370(万/套),在售,"3室,4室",建面 107-168㎡
越禧府,越秀,建设路,先烈南路越禧府,"住宅,小型社区,近地铁,多轨交汇,超市",价格待定,,待售,,
星河盛世禧悦,黄埔,香雪,开创大道星河盛世禧悦,"住宅,低单价,车位充足,绿化率高,品牌房企",24000,总价220-270(万/套),在售,"3室,4室",建面 88-108㎡
中旅·阿那亚·九龙湖,花都,北兴镇,鸿鹤路微澜苑,"住宅,绿化率高,低密居所,国央企,置换改善",23000,总价1050-1200(万/套),待售,"4室,5室",建面 447-508㎡
天健东玥台,增城,中新镇,中新地铁站A口,"底商,车位充足,小型社区,国央企,品牌房企",价格待定,,待售,,
珠江广场,海珠,滨江东,海珠区滨江东路835号,"住宅,人车分流,大型社区,近地铁,地铁沿线",80000,总价400-978(万/套),在售,"1室,2室",建面 55-122㎡
保利招商华发中央公馆,黄埔,黄埔区府,护林路保利招商华发中央公馆,"住宅,绿化率高,人车分流,国央企,品牌房企",45000,总价410-520(万/套),在售,"2室,3室",建面 81-159㎡
品越华府,海珠,赤岗,金运路1号,"住宅,车位充足,人车分流,国央企,品牌房企",140000,总价4700(万/套),在售,5室,建面 325㎡
城投湖山雅筑,花都,新区,商业大道城投湖山雅筑,"住宅,车位充足,绿化率高,国央企,品牌房企",23000,总价220-325(万/套),在售,"3室,4室",建面 94-133㎡
知城翰林湖畔,黄埔,知识城,创新大道知城翰林湖畔,"住宅,小型社区,地铁沿线,公交直达,综合商场",价格待定,,待售,,
中建一城江山海,黄埔,文冲,红山街道中建一城江山海,"住宅,车位充足,绿化率高,国央企,养老舒适",价格待定,,待售,,
保利锦上印,荔湾,坑口,东漖街保利锦上印,"商业类,人车分流,大型社区,国央企,品牌房企",价格待定,,待售,,
越秀万博城,番禺,汉溪长隆,番禺大道北越秀·万博城,"住宅,车位充足,绿化率高,国央企,品牌房企",51000,总价480-1000(万/套),在售,4室,建面 103-188㎡
中国铁建花语上城,南沙,南沙区府,广州南沙蕉门河凤凰大道滨海实验学校（海语校区）对面,"住宅,车位充足,人车分流,国央企,品牌房企",28500,总价275-420(万/套),在售,"3室,4室",建面 98-140㎡
越秀·大学城·和樾府·飞鸟集,番禺,国际创新城,兴业大道越秀·大学城·和樾府,"商业类,车位充足,人车分流,国央企,品牌房企",20000,总价70-96(万/套),在售,1室,建面 35-46㎡
中铁阅江来,南沙,南沙区府,黄阁南路中铁阅江来,"底商,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,1室,建面 24-70㎡
长兴智汇商务中心,天河,五山,广州市天河区长福路219号,"商业类,小型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
长兴智汇商务中心,天河,五山,广州市天河区长福路219号,"住宅,小型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
颐和盛世,花都,炭步,炭步镇817乡道,"商业类,大型社区,国央企,品牌房企,综合商场",价格待定,,待售,,
创基天峰,增城,荔城西区,荔城街增城大道134号,"商业类,车位充足,小型社区,近地铁,地铁沿线",价格待定,,待售,,
岭胜广场,黄埔,科学城,联和街道岭胜广场,"商业类,小型社区,近地铁,地铁沿线,超市",价格待定,,待售,,
大湾区诺德云城,白云,同德围,广东省广州市白云区棠乐路165号,"商业类,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
中建天钰,海珠,江燕路,南石头街道中建天钰,"住宅,小型社区,国央企,品牌房企,近地铁",价格待定,,待售,,
越秀·天荟江湾,海珠,工业大道南,广东省广州市海珠区大干围12号,"商业类,人车分流,大型社区,国央企,品牌房企",800-1600,,待售,,建面 176-293㎡
城隆大厦,天河,金融城,广东省广州市天河区员村五横路自编3号,"商业类,人车分流,小型社区,国央企,品牌房企",价格待定,,待售,,
大壮名城·名门,黄埔,科学城,揽月路大壮名城二期,"住宅,车位充足,绿化率高,近地铁,地铁沿线",55000,总价450-860(万/套),在售,"2室,4室",建面 88-143㎡
雍晟河滨广场,从化,新城片区,城南路雍晟河滨广场,"住宅,人车分流,小型社区,品牌房企,地铁沿线",价格待定,,待售,"3室,4室",建面 58-98㎡
智都绿城凤凰于飞,花都,新区,广东省广州市花都区凤凰北路,"住宅,车位充足,人车分流,国央企,品牌房企",23000,总价249-350(万/套),在售,"3室,4室",建面 108-144㎡
广州城投禧悦时光,花都,镜湖大道,花都区新雅街道安雅路1号,"住宅,低单价,低总价,绿化率高,人车分流",17000,总价120-210(万/套),在售,"3室,4室",建面 78-118㎡
广地花园,番禺,星河湾,广东省广州市番禺区,"底商,车位充足,大型社区,品牌房企,地铁沿线",45000,总价500(万/套),在售,,
保利珠江天悦,荔湾,东塱,白鹅潭CBD国际健康医药港港湾旁,"住宅,车位充足,绿化率高,国央企,品牌房企",60000,总价720-1350(万/套),在售,"3室,4室",建面 131-215㎡
中建海丝城,黄埔,文冲,广州市黄埔区黄埔东路1568号,"住宅,绿化率高,人车分流,国央企,品牌房企",35000,总价270-420(万/套),在售,"3室,4室",建面 78-117㎡
益云科创中心,白云,龙归,广东省广州市白云区大源街道益云科创中心(建设中),"商业类,车位充足,人车分流,地铁沿线,超市",价格待定,,待售,,
招商臻园,增城,新塘北,永宁街新福路,"商业,车位充足,人车分流,国央企,品牌房企",价格待定,,待售,,
广州城投禧悦府,增城,凤凰城,汽车城大道广州城投禧阅盛汇,"底商,大型社区,国央企,品牌房企,近地铁",38000,总价240(万/套),在售,,
中新知识城国际领军人才集聚区,黄埔,知识城,广东省广州市黄埔区中新广州知识城凤凰四路17号,"商业类,小型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
中旅璞樾天序,花都,旧区,广州市花都区秀全三街1-38号,"住宅,低总价,人车分流,大型社区,国央企",21000,总价150-255(万/套),在售,"3室,4室",建面 89-128㎡
保利雅郡,荔湾,广钢新城,鹤洞路保利雅郡,"住宅,绿化率高,人车分流,国央企,品牌房企",45000,总价398-500(万/套),在售,"3室,4室",建面 69-109㎡
花都城投翰林世家,花都,花山镇,平西村十二队二街花都城投翰林世家,"住宅,车位充足,绿化率高,国央企,品牌房企",18000,总价230-350(万/套),在售,4室,建面 131-171㎡
增江创业广场,增城,荔城增江,纬六路增江创业广场,"商业类,人车分流,小型社区,公交直达,小户型",7850,总价26-37(万/套),在售,1室,建面 34-46㎡
太古仓壹号,海珠,工业大道北,海珠区龙凤街金沙社区革新路,"商业类,车位充足,小型社区,国央企,品牌房企",价格待定,,待售,,
广开云翰,黄埔,知识城,龙湖街道广开云翰,"住宅,小型社区,国央企,地铁沿线,公交直达",价格待定,,待售,,
智都越秀臻智府,花都,镜湖大道,广东省广州市花都区永利路,"住宅,人车分流,小型社区,国央企,品牌房企",价格待定,,待售,,
珠江壹城·禧悦花园,从化,神岗镇,14号线神岗地铁站B出口,"商业,车位充足,人车分流,品牌房企,近地铁",28000,总价62(万/套),在售,1室,建面 31㎡
保利翔龙天汇,黄埔,科学城,广汕公路黄陂地铁站B出口(第一一七中学旁),"底商,车位充足,人车分流,国央企,品牌房企",27000,总价500(万/套),在售,,
绿地云央,白云,太和,草塘路5号,"住宅,车位充足,人车分流,国央企,品牌房企",27500,总价275(万/套),售罄,"3室,4室",建面 98-138㎡
南华时代城,花都,铁路西,新华街工业大道18号,"住宅,人车分流,大型社区,健身跑道,地铁沿线",20000,总价220(万/套),售罄,3室,建面 105-124㎡
公园里（春晓花园）,增城,荔城增江,广汕公路与增江大道南交汇处（天恩小学对面）,"住宅,车位充足,绿化率高,入户花园,中式建筑",9800,,售罄,3室,建面 113-135㎡
名城御景绿洲,从化,江浦街,广州市从化区河东南路388号,"住宅,人车分流,大型社区,健身跑道,中式建筑",15000,总价120(万/套),售罄,"2室,3室",建面 84-172㎡
盈港国际,南沙,进港大道,广州市南沙区南沙街进港大道577号进港大道盈港国际,"商业类,绿化率高,人车分流,自持商业,公交直达",14500,总价140(万/套),售罄,"1室,2室",建面 87-139㎡
广州星河丹堤,南沙,金洲,丹堤北大街20号,"住宅,车位充足,绿化率高,高品质小区,养老舒适",25000,总价460(万/套),售罄,"3室,4室",建面 129-344㎡
大夫山尚东,番禺,市桥,禺山西路东桥大街68号,"住宅,绿化率高,人车分流,品牌房企,贴心物业",24000,总价220(万/套),售罄,"2室,3室",建面 79-110㎡
保利罗兰国际4期,黄埔,科学城,开创大道2656号,"住宅,车位充足,绿化率高,国央企,品牌房企",41000,总价450(万/套),售罄,"1室,2室",建面 54-172㎡
金地香山湖,增城,永宁,永和新新大道15号,"住宅,人车分流,小型社区,品牌房企,入户花园",12000,总价160(万/套),售罄,4室,建面 129-170㎡
中国铁建环球中心,南沙,南沙区府,广州市南沙区进港大道与丰泽西路交汇处,"写字楼,人车分流,大型社区,国央企,品牌房企",23000,,售罄,,
合景誉山国际,增城,永宁,广园东新新公路中段,"商业,车位充足,人车分流,品牌房企,贴心物业",18000,总价90(万/套),售罄,,
华发荔湾荟,荔湾,滘口,芳村大道西兴东路（郭村小区以南）,"商业类,人车分流,小型社区,国央企,品牌房企",22000,总价85(万/套),售罄,"2室,3室",建面 41-64㎡
越秀国际总部广场,南沙,金洲,双山大道与金隆路交汇处,"商业类,人车分流,大型社区,国央企,品牌房企",13500,总价70(万/套),售罄,"2室,3室",建面 40-87㎡
富力环贸中心,花都,花城街,平步大道与狮岭大道交汇处（广清高速海布出口以东100米）,"写字楼,品牌房企,公交直达,已交房超2年,综合商场",价格待定,,售罄,,
星河·湾区壹号,南沙,金洲,金苑大街与金苑横街交叉口西,"商业类,人车分流,封闭管理,品牌房企,健身跑道",13000,总价80(万/套),售罄,"1室,2室",建面 39-73㎡
嘉骏幸福里,从化,旧城区,广州市从化区城郊安园街43号,"住宅,绿化率高,人车分流,健身跑道,休闲会所",15500,总价149(万/套),售罄,3室,建面 89-106㎡
保利合锦领秀山,增城,荔城增江,增江街陆村村鹅春岭,"住宅,车位充足,人车分流,品牌房企,入户花园",10000,,售罄,"3室,4室",建面 100-139㎡
远洋招商保利东湾,增城,朱村,广东省广州市增城区朱村大道西163号,"住宅,车位充足,人车分流,国央企,品牌房企",20000,总价188(万/套),售罄,"3室,4室",建面 96-110㎡
纵横缤城,白云,新市,佳园街37-45号（单）,"住宅,绿化率高,人车分流,地铁沿线,公交直达",43000,总价360(万/套),售罄,"2室,3室",建面 71-100㎡
华远雲和墅,白云,东平,白云大道北大一大街23号,"住宅,车位充足,绿化率高,国央企,高品质小区",90000,总价2000(万/套),售罄,"2室,3室",建面 153-230㎡
保利西悦湾,荔湾,坑口,东漖南路（坑口地铁D出口990米）,"商业,人车分流,大型社区,国央企,品牌房企",价格待定,,售罄,,
越秀·天悦江湾（海珠）,海珠,南洲,南洲路1026号,"住宅,车位充足,人车分流,国央企,品牌房企",149000,总价1700(万/套),售罄,"3室,4室",建面 112-130㎡
南洲汇,海珠,南洲,南洲路128-150号,"商业,近地铁,多轨交汇,超市,公园",价格待定,,售罄,,
侨建Hi·City,海珠,南洲,南洲路158号,"商业类,车位充足,绿化率高,近地铁,多轨交汇",40000,总价240(万/套),售罄,"3室,4室",建面 56-99㎡
保利阅云台,白云,新市,三元里大道1375号,"住宅,车位充足,绿化率高,国央企,品牌房企",45000,总价450(万/套),售罄,"3室,4室",建面 99-108㎡
华润置地润府,白云,嘉禾望岗,鹤龙三路自编4号,"住宅,绿化率高,人车分流,国央企,品牌房企",37000,总价380(万/套),售罄,"3室,4室",建面 105-133㎡
品秀·星樾,黄埔,香雪,广州市黄埔区荔红一路品秀·星樾,"住宅,车位充足,人车分流,国央企,品牌房企",41500,总价456(万/套),售罄,"3室,4室",建面 84-193㎡
南沙.越秀明珠天悦江湾,南沙,明珠湾,庙南路江灵路小学旁越秀明珠天悦江湾,"住宅,绿化率高,人车分流,国央企,品牌房企",30000,总价260(万/套),售罄,"3室,4室",建面 80-178㎡
中国铁建·花语岭南,番禺,金山谷,兴学路西侧,"住宅,车位充足,绿化率高,国央企,品牌房企",45000,总价650(万/套),售罄,"4室,5室",建面 110-195㎡
保利拾光年,黄埔,知识城,广州市黄埔区知识城九龙大道保利拾光年,"住宅,车位充足,低密居所,国央企,品牌房企",25500,总价235(万/套),售罄,"2室,3室",建面 61-99㎡
越秀臻荣府,花都,镜湖大道,臻荣环街1号,"住宅,绿化率高,人车分流,国央企,品牌房企",30000,总价290(万/套),售罄,"3室,4室",建面 87-122㎡
领南星河荣誉,南沙,南沙港,南沙湾英东大道领南星河荣誉销售中心,"住宅,车位充足,绿化率高,品牌房企,贴心物业",28000,总价280(万/套),售罄,"3室,4室",建面 97-131㎡
信基玥岛,番禺,厦滘,迎宾路,"商业,小型社区,贴心物业,近地铁,地铁沿线",价格待定,,售罄,,
大华·紫悦府,番禺,市桥,禺山西路,"住宅,车位充足,绿化率高,品牌房企,健身跑道",27000,总价260(万/套),售罄,"2室,3室",建面 97-125㎡
大华·紫悦府,番禺,市桥,禺山西路（海伦堡创意园旁）,"底商,车位充足,人车分流,品牌房企,贴心物业",29000,总价90(万/套),售罄,,
桐悦花园,花都,镜湖大道,联乡路1号,"住宅,车位充足,绿化率高,国央企,品牌房企",29000,总价335(万/套),售罄,"2室,3室",建面 98-142㎡
龙湖天著,白云,人和,广州市白云区人和镇规划二横路,"住宅,车位充足,绿化率高,高品质小区,养老舒适",26000,总价230(万/套),售罄,"3室,4室",建面 94-139㎡
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,"商业,人车分流,封闭管理,品牌房企,健身跑道",23000,总价65(万/套),售罄,,
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,"底商,人车分流,大型社区,品牌房企,健身跑道",价格待定,,售罄,,
元邦明月翡翠,白云,新市,大埔南二街一巷1号,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",40000,总价305(万/套),售罄,"1室,2室",建面 40-86㎡
四海城商业广场,番禺,万博,汉溪大道东390号,"写字楼,大型社区,近地铁,多轨交汇,已交房超2年",30000,总价150(万/套),售罄,31室,建面 2150㎡
灵山岛金茂湾二期,南沙,明珠湾,凤凰大道外国语学校对面,"住宅,车位充足,绿化率高,国央企,品牌房企",39000,总价830(万/套),售罄,"3室,4室",建面 98-252㎡
方圆星宇月岛,南沙,进港大道,南沙街星宇月岛二街,"住宅,绿化率高,人车分流,品牌房企,地铁沿线",29000,总价280(万/套),售罄,"2室,3室",建面 75-115㎡
智联汽车小镇,番禺,莲花山,金山大道东龙丰路段,"底商,车位充足,人车分流,国央企,品牌房企",价格待定,,售罄,,
星樾山畔TOD,黄埔,科学城,广州市黄埔区地铁7号线燕山站上盖,"住宅,车位充足,绿化率高,国央企,品牌房企",36500,总价365(万/套),售罄,"3室,4室",建面 80-110㎡
星汇城,黄埔,知识城,广东省广州市黄埔区,"住宅,车位充足,绿化率高,国央企,品牌房企",22000,总价210(万/套),售罄,"3室,4室",建面 81-122㎡
万科金域曦府,荔湾,花地湾,荔湾区地铁1号线花地湾站旁,"住宅,人车分流,大型社区,国央企,品牌房企",55000,总价550(万/套),售罄,"2室,3室",建面 72-132㎡
越秀和樾府,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,"住宅,车位充足,人车分流,国央企,品牌房企",66000,总价700(万/套),售罄,"3室,4室",建面 98-270㎡
保利悦公馆,番禺,金山谷,番禺区万博金山谷旁（富豪山庄北门）,"住宅,车位充足,绿化率高,国央企,品牌房企",38000,总价345(万/套),售罄,"2室,3室",建面 91-140㎡
保利阅云台,白云,新市,三元里大道1375号,"底商,车位充足,人车分流,国央企,品牌房企",50000,总价300(万/套),售罄,1室,建面 28㎡
越秀国际总部广场,南沙,金洲,广东省广州市南沙区金隆路,"商业,人车分流,大型社区,国央企,品牌房企",25000,总价300(万/套),售罄,,
景豪方大厦,越秀,北京路,大马站4、6、8号,"底商,人车分流,小型社区,国央企,品牌房企",价格待定,,售罄,,
保利大都汇,番禺,汉溪长隆,汉溪大道与新光快速交汇处,"写字楼,车位充足,人车分流,国央企,品牌房企",30000,总价6000(万/套),售罄,"6室,10室",建面 1979-4504㎡
雅居乐滨江雅苑,从化,太平镇,广从南路与太平西路交汇处,"住宅,车位充足,人车分流,品牌房企,科技住宅",11500,总价90(万/套),售罄,"3室,4室",建面 77-97㎡
中国铁建环球中心,南沙,南沙区府,丰泽西路中国铁建环球中心,"商业类,小型社区,国央企,品牌房企,近地铁",12600,总价75(万/套),售罄,1室,建面 38-49㎡
保利湾上,南沙,黄阁,南沙保利城售楼部,"住宅,车位充足,人车分流,国央企,品牌房企",22000,总价200(万/套),售罄,"2室,3室",建面 77-110㎡
奥园中新城市天地,增城,中新镇,广东省广州市增城区风光路360,"住宅,车位充足,人车分流,品牌房企,近地铁",21500,总价185(万/套),售罄,"3室,4室",建面 76-98㎡
合景臻玥广场,黄埔,科学城,广州市黄埔区科翔路76号臻玥广场售楼部（美国人学校对面）,"写字楼,车位充足,人车分流,品牌房企,近地铁",55000,总价1600(万/套),售罄,,
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"住宅,绿化率高,人车分流,国央企,品牌房企",38000,总价370(万/套),售罄,"2室,3室",建面 78-117㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"写字楼,车位充足,人车分流,国央企,品牌房企",24000,总价845(万/套),售罄,1室,建面 467㎡
美的江上沄启,南沙,明珠湾,广东省广州市南沙区横沥镇凤凰二桥,"住宅,人车分流,封闭管理,品牌房企,入户花园",30000,总价300(万/套),售罄,"2室,3室",建面 98-140㎡
金地半山风华,增城,永宁,新新大道北金地半山风华,"住宅,绿化率高,低密居所,高品质小区,养老舒适",12000,总价120(万/套),售罄,"2室,3室",建面 66-106㎡
中海观雲府,海珠,东晓南,东晓南路1668号,"住宅,绿化率高,人车分流,国央企,品牌房企",70000,总价1100(万/套),售罄,"3室,4室",建面 86-164㎡
品秀·星樾,黄埔,香雪,荔红一路品秀·星樾,"商业,车位充足,人车分流,国央企,品牌房企",45000,总价130(万/套),售罄,1室,建面 60㎡
领南星河荣誉,南沙,南沙港,南沙区英东大道领南星河荣誉销售中心,"写字楼,车位充足,人车分流,品牌房企,地铁沿线",价格待定,,售罄,,
领南星河荣誉,南沙,南沙港,南沙区英东大道,"底商,车位充足,人车分流,品牌房企,健身跑道",34000,总价160(万/套),售罄,,
中建玖玥湾,南沙,南沙港,港前大道北中建玖玥湾,"住宅,绿化率高,人车分流,国央企,品牌房企",35000,总价400(万/套),售罄,"3室,4室",建面 100-140㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"底商,车位充足,人车分流,国央企,品牌房企",价格待定,,售罄,,
中海联睿品,增城,新塘北,民营大道东（新塘客运站南300米）,"底商,车位充足,人车分流,地铁沿线,公交直达",30000,总价150(万/套),售罄,,
合景臻玥广场,黄埔,科学城,广东省广州市黄埔区科翔路76号,"商业类,车位充足,绿化率高,品牌房企,贴心物业",55000,总价1721(万/套),售罄,5室,建面 313-322㎡
保利越秀·天启,荔湾,鹤洞,广州市荔湾区芳村大道东5-1号、5-2号,"住宅,人车分流,封闭管理,国央企,品牌房企",50000,总价600(万/套),售罄,"2室,3室",建面 88-119㎡
铂玥明珠ONE,南沙,明珠湾,广东省广州市南沙区义沙东路,"住宅,车位充足,人车分流,品牌房企,科技住宅",28000,总价250(万/套),售罄,"2室,3室",建面 79-113㎡
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"商业类,绿化率高,人车分流,国央企,品牌房企",18000,总价150(万/套),售罄,"1室,4室",建面 32-80㎡
中惠璧珑湾,南沙,南沙区府,南沙进港大道与凤凰大道交界（地铁4号线蕉门站A出口）,"写字楼,人车分流,小型社区,近地铁,地铁沿线",26000,总价189(万/套),售罄,,
凯得金融中心,黄埔,科学城,广东省广州市黄埔区科学大道239号,"写字楼,小型社区,国央企,品牌房企,近地铁",26000,总价2600(万/套),售罄,1室,建面 1001-1002㎡
越秀明珠天悦江湾,南沙,明珠湾,庙南路越秀明珠天悦江湾,"底商,人车分流,大型社区,国央企,品牌房企",27000,总价900(万/套),售罄,,
星汇城,黄埔,知识城,知识城镇龙地铁站C出口,"商业,车位充足,人车分流,国央企,品牌房企",15000,总价60(万/套),售罄,,
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,"底商,人车分流,大型社区,国央企,品牌房企",22000,总价75(万/套),售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"底商,人车分流,小型社区,品牌房企,公交直达",价格待定,,售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"商业,人车分流,小型社区,品牌房企,公交直达",22500,总价100(万/套),售罄,,
保利时光印象,南沙,金洲,金岭南路保利时光印象,"住宅,绿化率高,人车分流,国央企,品牌房企",18000,总价130(万/套),售罄,"3室,4室",建面 68-118㎡
美的江上沄启,南沙,明珠湾,横沥镇晓风印月东三街1号,"底商,人车分流,封闭管理,品牌房企,公交直达",27000,总价100(万/套),售罄,,
万科云都荟,白云,三元里,机场路万科云都荟,"商业类,小型社区,国央企,品牌房企,近地铁",价格待定,,售罄,,
越秀和樾府,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,"底商,人车分流,大型社区,国央企,品牌房企",100000,总价260(万/套),售罄,,
中国铁建环球中心,南沙,南沙区府,广东省广州市南沙区S358(进港大道),"底商,大型社区,国央企,品牌房企,近地铁",28000,,售罄,,
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"底商,人车分流,封闭管理,国央企,品牌房企",38000,总价90(万/套),售罄,,
中建玖玥湾,南沙,南沙港,南沙-明珠湾/港前大道北与下湾东街交叉口西北320米,"商业类,绿化率高,人车分流,国央企,品牌房企",17000,总价76(万/套),售罄,"1室,2室",建面 38-65㎡
香江健康小镇三期一方小院,增城,派潭镇,达开北路香江健康小镇三期一方小院,"商业,小型社区,品牌房企,公交直达,超市",价格待定,,售罄,,
保利半岛,南沙,黄阁,滨水大道左侧（南沙儿童公园对面）保利半岛,"商业,车位充足,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
保利半岛南地块,南沙,黄阁,市南大道北侧，滨水大道左侧(华师附二中旁),"商业,车位充足,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
富力新城,黄埔,开发东区,广东省广州市黄埔区笔村大路85,"底商,人车分流,大型社区,地铁沿线,公交直达",43000,总价355(万/套),售罄,1室,建面 71-81㎡
禧都华庭,花都,铁路西,工业大道17号之二,"住宅,绿化率高,人车分流,品牌房企,地铁沿线",13800,总价140(万/套),售罄,"2室,3室",建面 76-126㎡
保利罗兰国际（商业）,黄埔,科学城,开创大道保利罗兰国际,"商业,车位充足,人车分流,国央企,品牌房企",40000,总价350(万/套),售罄,,
华润置地润府,白云,嘉禾望岗,鹤龙三路自编4号,"商业,小型社区,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
中建玖玥湾,南沙,南沙港,港前大道北中建玖玥湾,"商业,人车分流,小型社区,国央企,品牌房企",价格待定,,售罄,,
禧都华庭,花都,铁路西,新街大道100号,"商业,人车分流,小型社区,品牌房企,近地铁",28000,总价114(万/套),售罄,1室,建面 40㎡
保利悦公馆,番禺,金山谷,兴学路,"商业,人车分流,大型社区,国央企,品牌房企",价格待定,,售罄,,
星樾山畔TOD,黄埔,科学城,地铁7号线2期水西北站旁(敏捷广场旁),"商业,车位充足,人车分流,国央企,品牌房企",价格待定,,售罄,,
南沙·十里方圆,南沙,黄阁,黄阁镇大井村,"商业,人车分流,小型社区,品牌房企,地铁沿线",价格待定,,售罄,,
禧都华庭,花都,铁路西,工业大道17号之二,"底商,人车分流,小型社区,品牌房企,地铁沿线",28000,总价114(万/套),售罄,1室,建面 40㎡
叠翠峰,南沙,南沙区府,南沙凤凰大道与丰泽西路交汇处叠翠峰,"底商,大型社区,近地铁,地铁沿线,综合商场",35000,,售罄,,
云星钱隆天誉,从化,太平镇,高技术产业园丰盈路7号,"底商,品牌房企,地铁沿线,公交直达,已交房超2年",18000,,售罄,,
